OTU_ID	4.6	1.7	4.5	2.12	6.13	6.15	3.3	3.2	3.1	8.16	6.14	10.23	8.17	10.24	2.11	1.8	1.9	8.18	2.1	10.22	4.4
189592	19	20	42	10	38	11	0	0	0	2	158	10	6	7	19	9	8	12	0	0	0
194104	0	60	73	47	106	11	0	0	0	7	79	11	32	3	169	1	7	21	159	0	0
2949328	0	0	0	44	7	51	0	0	0	0	0	176	7	123	7	0	0	4	0	0	0
193778	11	215	202	40	166	7	0	0	0	97	0	2	77	18	143	13	65	95	0	0	0
575041	0	32	0	13	260	0	0	0	0	199	0	0	0	0	151	2	4	0	0	0	0
199301	11	74	19	51	18	11	8	34	45	12	71	18	28	25	20	0	7	55	35	0	0
364179	0	657	2	5	339	12	2	0	0	1854	0	5	0	5	17	7	1	0	1	0	0
363389	0	41	0	111	0	7	3795	0	706	3	1	3	1	0	19	0	0	7	2	0	16
302160	0	65	0	0	61	0	0	0	0	121	0	0	0	0	15	0	0	0	0	0	0
234959	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1734	0	0	0	0	0	0
336614	16	7	4	21	2	2	12	15	28	21	18	3	10	16	1	3	0	23	0	0	0
354461	0	31	241	77	42	9	0	0	0	7	0	0	10	0	60	43	73	2	0	0	0
177100	0	8	31	22	21	16	2	0	0	0	105	10	18	1	43	31	121	7	0	0	0
404292	2	254	1	57	108	30	0	1	0	5	0	0	8	0	641	56	812	12	0	0	0
364926	0	0	0	9747	795	4006	2	1	2	0	0	10416	1185	16310	274	0	4	748	3	0	3
302746	64	191	203	279	84	17	55	275	130	47	414	9	43	8	35	6	11	24	70	1	0
363264	34	9	1	122	56	38	0	0	0	3	0	0	10	0	9	0	2	2	0	0	0
368486	0	0	7	0	0	0	0	369	1	0	0	0	0	1	0	2	13	1	0	0	0
363844	0	6	25	155	7	0	0	0	0	11	0	5	0	0	5	0	0	0	0	0	0
165118	0	0	0	577	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
540862	0	21	28	23	23	0	52	44	0	5	0	0	3	0	0	0	9	12	0	0	0
333166	69	3	1	3	0	40	58	6	0	22	164	21	20	13	0	3	1	25	29	0	0
367176	0	0	17	0	1	0	54	0	356	2	0	172	0	27	0	0	0	0	0	0	0
199147	3	0	11	58	1	2	4	37	0	0	6	0	2	0	48	3	2	0	0	0	0
584463	0	221	47	0	319	0	1	0	1	804	1	0	5	0	38	0	0	130	1	0	0
186633	7	3	14	34	11	13	0	0	0	7	41	1	4	3	31	3	0	1	0	0	0
585227	85	24	112	74	30	0	0	74	249	80	0	37	34	233	17	67	13	3	23	0	0
189384	85	1	7	2	6	38	20	5	0	23	0	11	28	43	2	2	1	38	0	0	0
298942	0	23	188	79	48	34	25	0	20	6	234	17	13	3	268	43	115	0	1	0	0
865469	13	6	3	0	0	270	100	1	1	7	1408	870	574	237	7	125	93	61	2	78	2485
184922	28	2	0	5	0	37	140	0	70	64	0	60	32	43	6	0	0	126	39	0	0
312586	13	0	1	0	0	14	13	4	10	1	89	0	23	3	0	9	0	27	2	0	0
585419	42	0	0	0	2	231	33	2	0	0	306	771	19	21	0	26	54	23	14	20205	693
368698	0	102	208	53	74	679	0	453	0	374	0	0	131	0	1	94	6	137	0	0	1
583974	0	0	4	0	0	0	64	1	289	0	3	4	0	0	0	0	1	0	7	0	2
4339832	28	3	5	3	0	0	41	30	67	0	22	10	0	5	11	0	0	1	16	0	0
586271	0	1	540	136	9	1	0	114	0	0	0	0	7	21	8	0	7	0	0	0	0
369182	0	118	47	5	13	19	0	0	0	5	0	0	48	0	10	6	2	44	0	0	0
528753	4	17	795	0	239	2	0	272	0	0	0	0	0	0	1	0	0	0	0	0	0
564806	762	4	106	11	5	0	616	203	734	2	152	335	4	112	34	6	0	19	191	0	6
180713	0	136	0	0	94	79	0	0	0	29	0	33	147	40	158	0	1	153	0	0	0
370046	0	1	0	0	28	0	0	0	0	105	0	0	0	0	27	0	0	0	0	0	0
183395	0	0	0	205	1	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	2
405780	0	14	2	6	16	0	0	4575	0	1	0	2	0	1	35	0	0	0	15	0	0
309391	34	71	200	271	133	26	94	521	21	9	228	48	35	25	205	15	72	40	90	2	2
539820	2	0	102	0	0	0	397	425	0	1	0	335	0	34	6	0	0	0	0	0	2
780650	1	194	1	304	593	512	2	3	1	0	183	3	0	307	3	0	0	1	6	3	1
7366	0	56	0	1	66	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
42372	240	1	0	0	0	0	514	4979	8102	0	0	67	0	63	11	0	0	0	0	0	4
682726	491	3	89	51	8	8	133	254	490	0	9	89	24	30	0	16	69	38	263	1	3
531374	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	0	0	0	6	432
321825	0	0	0	0	0	0	0	0	3581	0	0	0	0	0	0	0	0	0	0	0	0
794205	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0
620319	0	88	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	145	0	0	0
470382	2	940	1439	592	1622	400	0	1	3	79	805	363	579	162	1911	118	246	325	5429	1	2
369797	0	0	0	0	0	0	0	0	0	0	0	0	0	733	167	0	0	65	0	0	0
351095	0	0	16	8	47	20	9	2	134	0	11	0	11	0	0	0	0	29	15	0	0
547906	0	13	0	46	21	2	0	0	0	26	0	0	61	0	0	0	4	65	0	0	0
